Keyword,Keyword_ID,Category,Position,Previous position,Search Volume,Keyword Difficulty,CPC,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
angular 2 vs angular,1,Programming & Development,1,1,720,35,0,178,0.01,0,0,0,"[67,100,55,67,55,55,55,45,55,45,55,16]",17-01-2025,"Image pack, Sitelinks, Reviews, People also ask, Related searches, People also search",commercial,Organic
performance marketing,7,Marketing & SEO,1,1,8100,72,6.79,178,0.01,1208,0.18,2920000000,"[81,81,81,81,81,81,81,100,100,81,81,81]",26-01-2025,"Knowledge panel, Top stories, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches, Things to know",informational,People also ask
programming interview questions,1,Programming & Development,1,1,720,42,0.66,178,0.01,117,0.06,174000000,"[36,81,100,62,62,36,30,24,20,30,30,30]",14-01-2025,"Sitelinks, Reviews, Video, Related searches, Discussions and forums, Ads middle",informational,Organic
principles of mgt,20,Others,1,1,720,47,1.74,178,0.01,309,0.02,727000000,"[76,100,67,67,67,55,36,45,76,45,67,24]",15-01-2025,"Reviews, Video, People also ask, Related searches",commercial,Organic
how long pm certiifcation expire,20,Others,1,1,720,19,0,178,0.01,0,0,6510000,"[100,0,0,0]",21-01-2025,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
what is sigma six,20,Others,1,1,720,64,0.62,178,0.01,110,0.1,156000000,"[5,8,100,7,65,7,11,20,44,4,8,7]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches",informational,Organic
how to make a check box in excel,20,Others,1,1,720,41,0,178,0.01,0,0,321000000,"[54,100,100,81,81,81,100,81,100,81,81,67]",13-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
difference between tuple an list,20,Others,1,1,720,41,0,178,0.01,0,0,22600000,"[100,0,0]",23-01-2025,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches","commercial, informational",Organic
pair data structure c,2,Data & AI,1,1,720,30,0,178,0.01,0,0,308000000,"[100,0,0]",24-01-2025,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
what is a data scientist,20,Others,1,1,8100,82,1.63,178,0.01,290,0.16,690000000,"[29,66,36,36,44,44,29,29,44,54,29,36]",26-01-2025,"Knowledge panel, Video, Image, People also ask, Related searches, People also search",informational,People also ask
revert commit git,20,Others,4,2,8100,51,0,178,0.01,0,0,10700000,"[54,54,24,66,66,54,54,44,66,54,54,54]",26-01-2025,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,People also ask
how to work out standard deviation in excel,20,Others,1,1,720,50,0.02,178,0.01,3,0,45400000,"[35,44,0,0,0,0,0,0,0,35,44,0]",20-01-2025,"Image pack, Sitelinks, Reviews, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
formula for percent on excel,20,Others,1,1,720,65,0.06,178,0.01,10,0,0,"[44,0,0,0,0,0,0,0,0,3,0,0]",18-01-2025,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches",informational,Organic
pythonpath in python,1,Programming & Development,1,1,720,52,0,178,0.01,0,0,5150000,"[6,3,100,100,100,100,76,76,5,45,55,13]",18-01-2025,"Image pack, Sitelinks, People also ask, Related searches",informational,Organic
tensorflow vs pytorch comparison,20,Others,1,1,720,48,0,178,0.01,0,0,1230000,[100],13-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
why is cyber security important,4,Cybersecurity,1,1,720,66,3.78,178,0.01,672,0.17,336000000,"[55,67,67,67,67,45,36,36,55,67,76,55]",19-01-2025,"Sitelinks, Reviews, Featured snippet, People also ask, Related searches, People also search",informational,Organic
adding check boxes in excel,20,Others,1,1,720,50,0,178,0.01,0,0,90200000,"[72,88,59,59,88,100,48,88,59,72,39,72]",22-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
descriptive definition statistics,20,Others,1,1,720,59,0,178,0.01,0,0,101000000,"[68,100,8,16,46,46,37,20,37,31,25,8]",24-01-2025,"Video, Featured snippet, People also ask, Related searches",informational,Organic
what is a virtual function in c,20,Others,1,1,720,35,0,178,0.01,0,0,550000000,"[0,100,0,0,0]",26-01-2025,"Image pack, Sitelinks, Video, Featured snippet, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
list vs tuple,20,Others,1,1,720,43,0,178,0.01,0,0,31900000,"[52,46,31,46,25,52,25,25,37,52,37,37]",18-01-2025,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",commercial,Organic
descriptive of statistics,20,Others,1,1,720,64,0.59,178,0.01,105,0.01,302000000,"[0,62,62,20,55,30,30,36,55,100,55,30]",14-01-2025,"Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
define network,10,Networking & IT Support,1,1,8100,82,1.17,178,0.01,208,0.01,1950000000,"[66,66,81,81,100,100,66,54,81,81,81,54]",26-01-2025,"Instant answer, Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches, People also search",informational,People also ask
how to get into hacking,4,Cybersecurity,1,1,720,48,0,178,0.01,0,0,246000000,"[10,66,30,54,36,20,30,16,10,36,36,20]",26-01-2025,Sitelinks,informational,Organic
difference between leader and manager,20,Others,1,1,720,45,0.23,178,0.01,40,0.12,419000000,"[10,24,36,16,44,20,20,8,20,13,24,24]",18-01-2025,"Video, Featured snippet, People also ask, Related searches, Discussions and forums",informational,Organic
how to delete duplicates in excel,20,Others,5,5,8100,33,0.03,178,0.01,5,0,19700000,"[54,81,81,81,81,66,66,54,81,66,66,66]",26-01-2025,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
the inline method for css styles,1,Programming & Development,1,1,720,56,0,178,0.01,0,0,6680000,"[100,0,0]",25-01-2025,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, People also search",informational,Organic
spark interview questions,20,Others,1,1,720,30,0.51,178,0.01,90,0.08,58200000,"[20,30,34,24,30,34,24,24,24,30,24,20]",15-01-2025,"Sitelinks, Reviews, Video, Related searches, Discussions and forums",informational,Organic
digital marketing for beginners,7,Marketing & SEO,1,1,720,54,5.54,178,0.01,986,0.62,193000000,"[59,100,72,72,72,88,72,88,59,48,48,32]",15-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums",informational,Organic
how to check whether a number is prime,20,Others,1,1,720,60,0,178,0.01,0,0,502000000,"[55,81,81,62,55,45,30,24,55,36,45,24]",18-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
intersect in sql,1,Programming & Development,1,1,720,42,0.42,178,0.01,74,0.01,0,"[11,20,65,44,24,16,11,20,4,13,34,24]",18-01-2025,"Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
do you need to use pip to install datetime,20,Others,1,1,720,32,0,178,0.01,0,0,49000000,"[100,0,0]",23-01-2025,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
hypothesis statistics,20,Others,1,1,720,60,1.37,178,0.01,243,0,248000000,"[25,37,20,31,68,52,31,11,37,100,31,46]",20-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches, Things to know",informational,Organic
data science skills,2,Data & AI,1,1,720,46,3.02,178,0.01,537,0.15,737000000,"[30,67,55,55,67,36,45,45,45,100,100,36]",25-01-2025,"Image pack, Sitelinks, Reviews, Video, Ads bottom, People also ask, Related searches, Discussions and forums, People also search",informational,Organic
what does extrapolating data points mena,20,Others,1,1,720,47,0,178,0.01,0,0,80800,"[100,0,0]",25-01-2025,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
interpersonal communication define,8,CRM & ERP,1,1,720,38,0,178,0.01,0,0,78700000,"[41,100,66,79,20,8,10,10,13,5,8,8]",16-01-2025,"Knowledge panel, Video, Image, People also ask, Related searches",informational,Organic
ceh,20,Others,2,0,8100,65,4.53,178,0.01,806,0.19,44300000,"[36,54,36,66,44,44,29,44,44,54,54,36]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Image, People also ask, Related searches, Things to know",informational,People also ask
when will the world uses robot to help them,20,Others,1,1,720,44,0,178,0.01,0,0,581000000,"[100,0,0]",22-01-2025,"Sitelinks, Reviews, People also ask, Related searches, Discussions and forums, People also search",informational,Organic
crosby's quality philosophy,20,Others,1,1,720,22,0,178,0.01,0,0,664000,"[100,0,0,0]",21-01-2025,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, People also search",informational,Organic
example of chi test,20,Others,1,1,720,59,0,178,0.01,0,0,177000000,"[3,81,10,24,100,81,30,36,45,36,45,20]",18-01-2025,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
perl language programming,1,Programming & Development,1,1,720,66,2.84,178,0.01,505,0,25900000,"[0,100,0,0,0,0,0,0,0,0,0,0]",14-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Things to know",informational,Organic
project report,20,Others,1,1,720,45,5.38,178,0.01,957,0.04,0,"[55,45,67,45,76,55,45,36,45,55,67,55]",19-01-2025,"Image pack, Sitelinks, Reviews, Image, People also ask, Related searches",informational,Organic
trending technology,20,Others,1,1,720,69,2.14,178,0.01,380,0.25,2020000000,"[24,67,30,100,10,67,30,10,67,67,76,67]",13-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches",informational,Organic
html vs css,1,Programming & Development,1,1,720,44,0,178,0.01,0,0,464000000,"[45,55,62,36,45,55,55,45,45,45,45,36]",15-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Discussions and forums",commercial,Organic
what are excel v-lookups,20,Others,1,1,720,49,0,178,0.01,0,0,7480000,"[100,0]",23-01-2025,"Image pack, Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
entrevista sr para docker,3,Cloud & DevOps,1,1,720,24,0,178,0.01,0,0,46,"[100,0,0]",23-01-2025,"Image pack, Video, Related searches",informational,Organic
excel pull down list,20,Others,2,1,8100,56,0.02,178,0.01,3,0.02,105000000,"[29,44,29,13,19,44,19,44,54,44,66,24]",26-01-2025,"Video, Featured snippet, People also ask, Related searches",informational,People also ask
er diagram models,20,Others,1,1,720,73,4.74,178,0.01,843,0.04,0,"[46,84,46,52,46,37,25,20,46,13,11,8]",21-01-2025,"Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches",informational,Organic
sql server interview questions,1,Programming & Development,1,1,720,33,0.11,178,0.01,19,0.12,33700000,"[31,37,37,37,37,37,31,37,37,37,37,37]",21-01-2025,"Image pack, Sitelinks, Reviews, Related searches, Discussions and forums, People also search",informational,Organic
gd discussion,20,Others,1,1,720,57,0,178,0.01,0,0,316000000,"[67,100,36,76,67,55,36,45,67,45,67,30]",24-01-2025,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, Discussions and forums","commercial, informational",Organic
javascript void 0 javascript void 0,1,Programming & Development,1,1,720,35,3.87,178,0.01,688,0,52100000,"[13,100,37,46,7,31,31,37,37,31,25,37]",14-01-2025,"Sitelinks, Reviews, Featured snippet, Video Carousel, People also ask, Related searches",informational,Organic
business analyst questions for interview,5,Business & Management,1,1,720,32,0.25,178,0.01,44,0.23,123000000,"[3,100,10,10,81,81,62,62,62,36,45,24]",14-01-2025,"Sitelinks, Reviews, Video, People also ask, Related searches, Discussions and forums",informational,Organic
what is an excel vlookup,20,Others,1,1,720,48,0.07,178,0.01,12,0.01,24700000,"[8,68,20,100,68,20,25,20,31,25,25,31]",26-01-2025,"Image pack, Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
what are todays issues with ai,2,Data & AI,1,1,720,65,0,178,0.01,0,0,1420000000,"[100,0,0]",25-01-2025,"Video, People also ask, Related searches",informational,Organic
cyber security interview questions,4,Cybersecurity,1,1,720,28,0.24,178,0.01,42,0.19,105000000,"[31,37,37,46,52,31,37,46,37,52,68,25]",22-01-2025,"Sitelinks, Reviews, Video, People also ask, Discussions and forums",informational,Organic
css vs html,1,Programming & Development,1,1,720,35,0,178,0.01,0,0,530000000,"[62,36,24,62,24,36,36,45,30,62,100,45]",24-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches, People also search","commercial, informational",Organic
cyber security courses,4,Cybersecurity,1,1,8100,73,14.71,178,0.01,2618,0.42,299000000,"[44,54,44,54,19,36,44,100,100,66,36,36]",26-01-2025,"Local pack, Sitelinks, Reviews, Video, People also ask, Related searches",commercial,People also ask
sha256 algorithm,20,Others,1,1,720,84,1.36,178,0.01,242,0.01,29200000,"[13,16,5,29,22,16,8,8,13,20,10,13]",17-01-2025,"Sitelinks, People also ask, Related searches",informational,Organic
interview making basic react project,1,Programming & Development,1,1,720,28,0,178,0.01,0,0,101000000,"[100,0,0]",24-01-2025,"Sitelinks, Reviews, Video, Related searches, Discussions and forums, People also search",informational,Organic
vlookup col index number,20,Others,1,2,720,42,0,178,0.01,0,0,44800,"[36,55,45,55,62,30,20,45,24,36,81,30]",26-01-2025,"Sitelinks, Video, Featured snippet, People also ask, Related searches",informational,Organic
population definition statistics,20,Others,1,1,720,59,0,178,0.01,0,0,757000000,"[30,24,54,24,30,30,10,13,3,54,20,24]",18-01-2025,"Image pack, Reviews, Video, Featured snippet, People also ask",informational,Organic
it architect,20,Others,1,1,720,14,2.65,178,0.01,471,0.06,2050000000,"[36,36,100,55,36,45,36,36,36,36,45,45]",15-01-2025,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
things about system software,1,Programming & Development,1,1,720,49,0,178,0.01,0,0,1170000000,"[100,0,0]",25-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, Featured snippet, Image, People also ask, Related searches, Discussions and forums",informational,Organic
schedule performance index,20,Others,6,6,8100,32,0.6,178,0.01,106,0.01,654000000,"[4,2,8,100,13,13,7,29,16,24,44,5]",26-01-2025,"Sitelinks, Reviews, Video, Featured snippet, People also ask, Related searches",informational,Organic
latest tech innovations,20,Others,1,1,720,61,2.13,178,0.01,379,0.18,201000000,"[0,0,0,0,0,0,0,100,0,1,1,0]",26-01-2025,"Image pack, Sitelinks, Reviews, Video, People also ask, Related searches, People also search",commercial,Organic
entity component system,20,Others,7,6,14800,50,0.46,177,0.01,81,0.31,161000000,"[29,66,81,13,44,36,81,100,29,81,66,36]",26-01-2025,"Knowledge panel, Sitelinks, Image, People also ask, Related searches, Things to know",informational,Things to know
monetize,20,Others,3,3,14800,78,2.53,177,0.01,447,0.02,639000000,"[66,100,100,66,81,81,66,54,66,54,81,81]",26-01-2025,"Instant answer, Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Things to know",informational,Things to know
constructor,20,Others,1,0,5400,94,20,175,0.01,3500,0.07,198000000,"[19,29,24,24,29,24,19,29,19,44,44,29]",26-01-2025,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches, Things to know",informational,People also ask
information system,20,Others,1,1,5400,59,5.85,175,0.01,1023,0.04,6250000000,"[66,19,66,66,66,44,54,36,36,54,36,44]",26-01-2025,"Knowledge panel, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches, Things to know, AI overview",informational,People also ask
